Nam,Vung,Nhiet_do_Trung_binh (Celsius),Nhiet_do_Trung_binh_Cao_nhat (Celsius),Nhiet_do_Trung_binh_Thap_nhat (Celsius),Do am Tuong doi (%),Tong Luong mua (mm),LoaiCayTrong,Sanluong (nghin tan),Dientich (nghin ha)
2001,An Giang,27.56,31.55,24.78,79.25,1847.46,Lua mua,32.2,11.5
2001,An Giang,27.56,31.55,24.78,79.25,1847.46,Ngo,41.5,7.2
2001,An Giang,27.56,31.55,24.78,79.25,1847.46,San,72.7,4.1
2002,An Giang,28.3,32.68,25.14,73.87,1497.69,Khoai,8.1,0.4
2002,An Giang,28.3,32.68,25.14,73.87,1497.69,Lua dong xuan,1430.9,218.8
2002,An Giang,28.3,32.68,25.14,73.87,1497.69,Lua he thu,1139.2,246.6
2002,An Giang,28.3,32.68,25.14,73.87,1497.69,Lua mi,0,0
2002,An Giang,28.3,32.68,25.14,73.87,1497.69,Lua mua,23.6,11.8
2002,An Giang,28.3,32.68,25.14,73.87,1497.69,Ngo,45.5,7.7
2002,An Giang,28.3,32.68,25.14,73.87,1497.69,San,65.6,3.7
2003,An Giang,27.98,32.22,24.95,75.46,1853.57,Khoai,8.1,0.4
2003,An Giang,27.98,32.22,24.95,75.46,1853.57,Lua dong xuan,1413.9,220.5
2003,An Giang,27.98,32.22,24.95,75.46,1853.57,Lua he thu,1250.6,275.2
2003,An Giang,27.98,32.22,24.95,75.46,1853.57,Lua mi,0,0
2003,An Giang,27.98,32.22,24.95,75.46,1853.57,Lua mua,21.8,8.3
2003,An Giang,27.98,32.22,24.95,75.46,1853.57,Ngo,62.5,9.1
2003,An Giang,27.98,32.22,24.95,75.46,1853.57,San,88.1,4.5
2004,An Giang,27.8,31.87,24.7,75.64,1465.58,Khoai,6.3,0.3
2004,An Giang,27.8,31.87,24.7,75.64,1465.58,Lua dong xuan,1436.4,220.3
2004,An Giang,27.8,31.87,24.7,75.64,1465.58,Lua he thu,1546.8,294
2004,An Giang,27.8,31.87,24.7,75.64,1465.58,Lua mi,-4.55E-13,0
2004,An Giang,27.8,31.87,24.7,75.64,1465.58,Lua mua,23.7,8.7
2004,An Giang,27.8,31.87,24.7,75.64,1465.58,Ngo,72.3,9.6
2004,An Giang,27.8,31.87,24.7,75.64,1465.58,San,2.8,0.2
2005,An Giang,27.72,31.65,24.78,76.28,1670.52,Khoai,7.7,0.3
2005,An Giang,27.72,31.65,24.78,76.28,1670.52,Lua dong xuan,1547.6,223.3
2005,An Giang,27.72,31.65,24.78,76.28,1670.52,Lua he thu,1568.7,298.1
2005,An Giang,27.72,31.65,24.78,76.28,1670.52,Lua mi,0,0
2005,An Giang,27.72,31.65,24.78,76.28,1670.52,Lua mua,25.3,8.3
2005,An Giang,27.72,31.65,24.78,76.28,1670.52,Ngo,76.8,9.8
2005,An Giang,27.72,31.65,24.78,76.28,1670.52,San,14.5,0.6
2006,An Giang,27.67,31.63,24.85,77.57,1796.44,Khoai,6.3,0.4
2006,An Giang,27.67,31.63,24.85,77.57,1796.44,Lua dong xuan,1572.7,231.1
2006,An Giang,27.67,31.63,24.85,77.57,1796.44,Lua he thu,1327,265.1
2006,An Giang,27.67,31.63,24.85,77.57,1796.44,Lua mi,0,0
2006,An Giang,27.67,31.63,24.85,77.57,1796.44,Lua mua,23.5,7.3
2006,An Giang,27.67,31.63,24.85,77.57,1796.44,Ngo,76,10
2006,An Giang,27.67,31.63,24.85,77.57,1796.44,San,18.2,0.8
2007,An Giang,27.59,31.73,24.66,77.76,1979.86,Khoai,3.4,0.2
2007,An Giang,27.59,31.73,24.66,77.76,1979.86,Lua dong xuan,1639.6,230.6
2007,An Giang,27.59,31.73,24.66,77.76,1979.86,Lua he thu,1486.3,282.5
2007,An Giang,27.59,31.73,24.66,77.76,1979.86,Lua mi,0,0
2007,An Giang,27.59,31.73,24.66,77.76,1979.86,Lua mua,17,7.2
2007,An Giang,27.59,31.73,24.66,77.76,1979.86,Ngo,80.1,10.5
2007,An Giang,27.59,31.73,24.66,77.76,1979.86,San,16.1,0.7
2008,An Giang,27.35,31.57,24.46,78.34,2131.14,Khoai,4.4,0.2
2008,An Giang,27.35,31.57,24.46,78.34,2131.14,Lua dong xuan,1694.8,231.7
2008,An Giang,27.35,31.57,24.46,78.34,2131.14,Lua he thu,1788,324.7
2008,An Giang,27.35,31.57,24.46,78.34,2131.14,Lua mi,0,0
2008,An Giang,27.35,31.57,24.46,78.34,2131.14,Lua mua,31,8.1
2008,An Giang,27.35,31.57,24.46,78.34,2131.14,Ngo,85.6,11.5
2008,An Giang,27.35,31.57,24.46,78.34,2131.14,San,23.9,1
2009,An Giang,27.53,31.73,24.61,79.2,1691.58,Khoai,2.1,0.1
2009,An Giang,27.53,31.73,24.61,79.2,1691.58,Lua dong xuan,1677.2,234.1
2009,An Giang,27.53,31.73,24.61,79.2,1691.58,Lua he thu,1715.8,315.6
2009,An Giang,27.53,31.73,24.61,79.2,1691.58,Lua mi,0,0
2009,An Giang,27.53,31.73,24.61,79.2,1691.58,Lua mua,28.5,7.6
2009,An Giang,27.53,31.73,24.61,79.2,1691.58,Ngo,65.1,9.2
2009,An Giang,27.53,31.73,24.61,79.2,1691.58,San,13,0.5
2010,An Giang,28.08,32.49,25.09,77.69,2133.19,Khoai,3.7,0.2
2010,An Giang,28.08,32.49,25.09,77.69,2133.19,Lua dong xuan,1708.9,234.2
2010,An Giang,28.08,32.49,25.09,77.69,2133.19,Lua he thu,1920.9,347
2010,An Giang,28.08,32.49,25.09,77.69,2133.19,Lua mi,0,0
2010,An Giang,28.08,32.49,25.09,77.69,2133.19,Lua mua,23.3,5.4
2010,An Giang,28.08,32.49,25.09,77.69,2133.19,Ngo,68.4,9.8
2010,An Giang,28.08,32.49,25.09,77.69,2133.19,San,21.6,0.8
2011,An Giang,27.46,31.63,24.6,78.27,1878.89,Khoai,6.4,0.3
2011,An Giang,27.46,31.63,24.6,78.27,1878.89,Lua dong xuan,1768.8,235.5
2011,An Giang,27.46,31.63,24.6,78.27,1878.89,Lua he thu,2064.7,366.7
2011,An Giang,27.46,31.63,24.6,78.27,1878.89,Lua mi,-4.55E-13,0
2011,An Giang,27.46,31.63,24.6,78.27,1878.89,Lua mua,23.3,5.4
2011,An Giang,27.46,31.63,24.6,78.27,1878.89,Ngo,76.8,10.4
2011,An Giang,27.46,31.63,24.6,78.27,1878.89,San,3.2,1.1
2012,An Giang,27.89,32.18,25.01,79.15,1965.37,Khoai,5.6,0.3
2012,An Giang,27.89,32.18,25.01,79.15,1965.37,Lua dong xuan,1746.1,235.9
2012,An Giang,27.89,32.18,25.01,79.15,1965.37,Lua he thu,2165.8,383.3
2012,An Giang,27.89,32.18,25.01,79.15,1965.37,Lua mi,0,-1.14E-13
2012,An Giang,27.89,32.18,25.01,79.15,1965.37,Lua mua,29.7,5.9
2012,An Giang,27.89,32.18,25.01,79.15,1965.37,Ngo,75.8,10.7
2012,An Giang,27.89,32.18,25.01,79.15,1965.37,San,27.3,1
2013,An Giang,27.88,32.08,25.03,77.72,2006.13,Khoai,6.5,0.3
2013,An Giang,27.88,32.08,25.03,77.72,2006.13,Lua dong xuan,1749.4,238.1
2013,An Giang,27.88,32.08,25.03,77.72,2006.13,Lua he thu,2244.6,397.9
2013,An Giang,27.88,32.08,25.03,77.72,2006.13,Lua mi,0,1.14E-13
2013,An Giang,27.88,32.08,25.03,77.72,2006.13,Lua mua,27.4,5.4
2013,An Giang,27.88,32.08,25.03,77.72,2006.13,Ngo,81.9,11.3
2013,An Giang,27.88,32.08,25.03,77.72,2006.13,San,18,0.7
2014,An Giang,27.84,32.16,24.82,77.35,1781.01,Khoai,12.4,0.7
2014,An Giang,27.84,32.16,24.82,77.35,1781.01,Lua dong xuan,1837.2,237.5
2014,An Giang,27.84,32.16,24.82,77.35,1781.01,Lua he thu,2161.4,383.2
2014,An Giang,27.84,32.16,24.82,77.35,1781.01,Lua mi,0,0
2014,An Giang,27.84,32.16,24.82,77.35,1781.01,Lua mua,24.3,5.1
2014,An Giang,27.84,32.16,24.82,77.35,1781.01,Ngo,77.5,9.6
2014,An Giang,27.84,32.16,24.82,77.35,1781.01,San,19.4,0.8
2015,An Giang,28.28,32.73,25.12,75.25,1499.42,Khoai,3.4,0.2
2015,An Giang,28.28,32.73,25.12,75.25,1499.42,Lua dong xuan,1804.4,238.6
2015,An Giang,28.28,32.73,25.12,75.25,1499.42,Lua he thu,2250.1,400.3
2015,An Giang,28.28,32.73,25.12,75.25,1499.42,Lua mi,0.1,-1.14E-13
2015,An Giang,28.28,32.73,25.12,75.25,1499.42,Lua mua,19.2,5.3
2015,An Giang,28.28,32.73,25.12,75.25,1499.42,Ngo,63.7,8.6
2015,An Giang,28.28,32.73,25.12,75.25,1499.42,San,15.4,0.7
2016,An Giang,28.43,32.61,25.5,76.7,1953.04,Khoai,4.8,0.2
2016,An Giang,28.43,32.61,25.5,76.7,1953.04,Lua dong xuan,1719.9,239.3
2016,An Giang,28.43,32.61,25.5,76.7,1953.04,Lua he thu,2234.6,424.7
2016,An Giang,28.43,32.61,25.5,76.7,1953.04,Lua mi,0.1,0
2016,An Giang,28.43,32.61,25.5,76.7,1953.04,Lua mua,20.1,5
2016,An Giang,28.43,32.61,25.5,76.7,1953.04,Ngo,60.9,8.1
2016,An Giang,28.43,32.61,25.5,76.7,1953.04,San,26.3,1.3
2017,An Giang,27.72,31.63,25.07,80.78,2301.93,Khoai,4.8,0.3
2017,An Giang,27.72,31.63,25.07,80.78,2301.93,Lua dong xuan,1660.4,236.2
2017,An Giang,27.72,31.63,25.07,80.78,2301.93,Lua he thu,2202,399.9
2017,An Giang,27.72,31.63,25.07,80.78,2301.93,Lua mi,0,0
2017,An Giang,27.72,31.63,25.07,80.78,2301.93,Lua mua,17.2,5
2017,An Giang,27.72,31.63,25.07,80.78,2301.93,Ngo,63.1,8.3
2017,An Giang,27.72,31.63,25.07,80.78,2301.93,San,28.5,1.4
2018,An Giang,27.86,31.91,25.08,79.29,2012.23,Khoai,3,169
2018,An Giang,27.86,31.91,25.08,79.29,2012.23,Lua dong xuan,1727.4,235
2018,An Giang,27.86,31.91,25.08,79.29,2012.23,Lua he thu,2199.1,388
2018,An Giang,27.86,31.91,25.08,79.29,2012.23,Lua mi,0,0
2018,An Giang,27.86,31.91,25.08,79.29,2012.23,Lua mua,0.3,0.1
2018,An Giang,27.86,31.91,25.08,79.29,2012.23,Ngo,61,7.5
2018,An Giang,27.86,31.91,25.08,79.29,2012.23,San,18.6,0.8
2019,An Giang,28.12,32.33,25.08,76.77,1625.89,Khoai,3.1,176
2019,An Giang,28.12,32.33,25.08,76.77,1625.89,Lua dong xuan,1659.3,233.7
2019,An Giang,28.12,32.33,25.08,76.77,1625.89,Lua he thu,2241,387.8
2019,An Giang,28.12,32.33,25.08,76.77,1625.89,Lua mi,0,-0.1
2019,An Giang,28.12,32.33,25.08,76.77,1625.89,Lua mua,19,4.8
2019,An Giang,28.12,32.33,25.08,76.77,1625.89,Ngo,44.1,6
2019,An Giang,28.12,32.33,25.08,76.77,1625.89,San,19.9,0.8
2020,An Giang,28.09,32.19,25.11,77.67,1909.41,Khoai,2.5,149
2020,An Giang,28.09,32.19,25.11,77.67,1909.41,Lua dong xuan,1645.2,229.4
2020,An Giang,28.09,32.19,25.11,77.67,1909.41,Lua he thu,2348.6,403
2020,An Giang,28.09,32.19,25.11,77.67,1909.41,Lua mi,-0.1,-1.14E-13
2020,An Giang,28.09,32.19,25.11,77.67,1909.41,Lua mua,20.3,4.8
2020,An Giang,28.09,32.19,25.11,77.67,1909.41,Ngo,44.5,5.7
2020,An Giang,28.09,32.19,25.11,77.67,1909.41,San,9,0.4
2021,An Giang,27.62,31.48,24.89,78.87,2016.72,Khoai,1.8,98
2021,An Giang,27.62,31.48,24.89,78.87,2016.72,Lua dong xuan,1771.8,230.4
2021,An Giang,27.62,31.48,24.89,78.87,2016.72,Lua he thu,2350.8,390
2021,An Giang,27.62,31.48,24.89,78.87,2016.72,Lua mi,0,0
2021,An Giang,27.62,31.48,24.89,78.87,2016.72,Lua mua,20.5,4.5
2021,An Giang,27.62,31.48,24.89,78.87,2016.72,Ngo,41.7,5.2
2021,An Giang,27.62,31.48,24.89,78.87,2016.72,San,15.4,0.7
2022,An Giang,27.82,31.75,25.15,79.14,2191.75,Khoai,2.2,108.1
2022,An Giang,27.82,31.75,25.15,79.14,2191.75,Lua dong xuan,1685.9,229.8
2022,An Giang,27.82,31.75,25.15,79.14,2191.75,Lua he thu,2242.8,371
2022,An Giang,27.82,31.75,25.15,79.14,2191.75,Lua mi,0,0
2022,An Giang,27.82,31.75,25.15,79.14,2191.75,Lua mua,15.2,3.6
2022,An Giang,27.82,31.75,25.15,79.14,2191.75,Ngo,52.4,6.2
2022,An Giang,27.82,31.75,25.15,79.14,2191.75,San,15.8,0.8
2023,An Giang,28.22,32.01,25.45,79.25,1934.29,Khoai,1.8,97.5
2023,An Giang,28.22,32.01,25.45,79.25,1934.29,Lua dong xuan,1719.4,227.7
2023,An Giang,28.22,32.01,25.45,79.25,1934.29,Lua he thu,2334.6,385
2023,An Giang,28.22,32.01,25.45,79.25,1934.29,Lua mi,0,0
2023,An Giang,28.22,32.01,25.45,79.25,1934.29,Lua mua,13.7,3.5
2023,An Giang,28.22,32.01,25.45,79.25,1934.29,Ngo,42.1,5.5
2023,An Giang,28.22,32.01,25.45,79.25,1934.29,San,15.9,0.8
2024,An Giang,28.73,32.55,25.84,78.51,2030.66,Khoai,1.3,70.1
2024,An Giang,28.73,32.55,25.84,78.51,2030.66,Lua dong xuan,1695.5,227.8
2024,An Giang,28.73,32.55,25.84,78.51,2030.66,Lua he thu,2359.6,387.3
2024,An Giang,28.73,32.55,25.84,78.51,2030.66,Lua mi,0,-1.14E-13
2024,An Giang,28.73,32.55,25.84,78.51,2030.66,Lua mua,13.6,3.5
2024,An Giang,28.73,32.55,25.84,78.51,2030.66,Ngo,41.7,5.7
2024,An Giang,28.73,32.55,25.84,78.51,2030.66,San,14.5,0.7
1995,Ba Ria-Vung Tau,26.75,29.82,24.58,81.56,2050.96,Khoai,4,1.4
1995,Ba Ria-Vung Tau,26.75,29.82,24.58,81.56,2050.96,Lua dong xuan,13.3,3.7
1995,Ba Ria-Vung Tau,26.75,29.82,24.58,81.56,2050.96,Lua he thu,13.8,5
1995,Ba Ria-Vung Tau,26.75,29.82,24.58,81.56,2050.96,Lua mi,-1.42E-14,0
1995,Ba Ria-Vung Tau,26.75,29.82,24.58,81.56,2050.96,Lua mua,33,13.7
1995,Ba Ria-Vung Tau,26.75,29.82,24.58,81.56,2050.96,Ngo,32.7,14.3
1995,Ba Ria-Vung Tau,26.75,29.82,24.58,81.56,2050.96,San,90.1,7.8
1996,Ba Ria-Vung Tau,26.48,29.44,24.38,83.4,2169.31,Khoai,3.9,1
1996,Ba Ria-Vung Tau,26.48,29.44,24.38,83.4,2169.31,Lua dong xuan,14.7,4
1996,Ba Ria-Vung Tau,26.48,29.44,24.38,83.4,2169.31,Lua he thu,13,4.2
1996,Ba Ria-Vung Tau,26.48,29.44,24.38,83.4,2169.31,Lua mi,0,0
1996,Ba Ria-Vung Tau,26.48,29.44,24.38,83.4,2169.31,Lua mua,36.2,13.1
1996,Ba Ria-Vung Tau,26.48,29.44,24.38,83.4,2169.31,Ngo,50,15.7
1996,Ba Ria-Vung Tau,26.48,29.44,24.38,83.4,2169.31,San,39.3,6.7
1997,Ba Ria-Vung Tau,26.9,30.01,24.76,80.9,1738.27,Khoai,2.9,0.8
1997,Ba Ria-Vung Tau,26.9,30.01,24.76,80.9,1738.27,Lua dong xuan,13.4,3.7
1997,Ba Ria-Vung Tau,26.9,30.01,24.76,80.9,1738.27,Lua he thu,9.5,3.9
1997,Ba Ria-Vung Tau,26.9,30.01,24.76,80.9,1738.27,Lua mi,0,-7.11E-15
1997,Ba Ria-Vung Tau,26.9,30.01,24.76,80.9,1738.27,Lua mua,33.7,14.2
1997,Ba Ria-Vung Tau,26.9,30.01,24.76,80.9,1738.27,Ngo,51.8,16.1
1997,Ba Ria-Vung Tau,26.9,30.01,24.76,80.9,1738.27,San,81.1,5.1
1998,Ba Ria-Vung Tau,27.45,30.51,25.42,81.42,2002.05,Khoai,3.4,0.8
1998,Ba Ria-Vung Tau,27.45,30.51,25.42,81.42,2002.05,Lua dong xuan,15.8,4.4
1998,Ba Ria-Vung Tau,27.45,30.51,25.42,81.42,2002.05,Lua he thu,12.2,4.4
1998,Ba Ria-Vung Tau,27.45,30.51,25.42,81.42,2002.05,Lua mi,0,0
1998,Ba Ria-Vung Tau,27.45,30.51,25.42,81.42,2002.05,Lua mua,42.2,13.7
1998,Ba Ria-Vung Tau,27.45,30.51,25.42,81.42,2002.05,Ngo,56.4,16.5
1998,Ba Ria-Vung Tau,27.45,30.51,25.42,81.42,2002.05,San,71.7,4.5
1999,Ba Ria-Vung Tau,26.59,29.49,24.61,84,2314.7,Khoai,3.5,0.8
1999,Ba Ria-Vung Tau,26.59,29.49,24.61,84,2314.7,Lua dong xuan,16.7,4.5
1999,Ba Ria-Vung Tau,26.59,29.49,24.61,84,2314.7,Lua he thu,16,5.3
1999,Ba Ria-Vung Tau,26.59,29.49,24.61,84,2314.7,Lua mi,-1.42E-14,0
1999,Ba Ria-Vung Tau,26.59,29.49,24.61,84,2314.7,Lua mua,37.2,15.8
1999,Ba Ria-Vung Tau,26.59,29.49,24.61,84,2314.7,Ngo,56.4,17.2
1999,Ba Ria-Vung Tau,26.59,29.49,24.61,84,2314.7,San,53.8,3.6
2000,Ba Ria-Vung Tau,26.7,29.63,24.7,83.54,2184.46,Khoai,5.9,1.3
2000,Ba Ria-Vung Tau,26.7,29.63,24.7,83.54,2184.46,Lua dong xuan,17.8,4.8
2000,Ba Ria-Vung Tau,26.7,29.63,24.7,83.54,2184.46,Lua he thu,17.9,5.8
2000,Ba Ria-Vung Tau,26.7,29.63,24.7,83.54,2184.46,Lua mi,-2.84E-14,0
2000,Ba Ria-Vung Tau,26.7,29.63,24.7,83.54,2184.46,Lua mua,44.2,16.2
2000,Ba Ria-Vung Tau,26.7,29.63,24.7,83.54,2184.46,Ngo,68.2,19.3
2000,Ba Ria-Vung Tau,26.7,29.63,24.7,83.54,2184.46,San,53,3.7
2001,Ba Ria-Vung Tau,26.94,29.96,24.9,82.49,1898.82,Khoai,2.5,0.6
2001,Ba Ria-Vung Tau,26.94,29.96,24.9,82.49,1898.82,Lua dong xuan,17.7,4.7
2001,Ba Ria-Vung Tau,26.94,29.96,24.9,82.49,1898.82,Lua he thu,18.7,6.2
2001,Ba Ria-Vung Tau,26.94,29.96,24.9,82.49,1898.82,Lua mi,0,0
2001,Ba Ria-Vung Tau,26.94,29.96,24.9,82.49,1898.82,Lua mua,46.3,16.6
2001,Ba Ria-Vung Tau,26.94,29.96,24.9,82.49,1898.82,Ngo,66.7,19
2001,Ba Ria-Vung Tau,26.94,29.96,24.9,82.49,1898.82,San,111.8,6.9
2002,Ba Ria-Vung Tau,27.2,30.43,25.06,79.51,1746.84,Khoai,1.7,0.6
2002,Ba Ria-Vung Tau,27.2,30.43,25.06,79.51,1746.84,Lua dong xuan,15,4.7
2002,Ba Ria-Vung Tau,27.2,30.43,25.06,79.51,1746.84,Lua he thu,15.5,5.6
2002,Ba Ria-Vung Tau,27.2,30.43,25.06,79.51,1746.84,Lua mi,0,7.11E-15
2002,Ba Ria-Vung Tau,27.2,30.43,25.06,79.51,1746.84,Lua mua,41,14.9
2002,Ba Ria-Vung Tau,27.2,30.43,25.06,79.51,1746.84,Ngo,67.5,18.4
2002,Ba Ria-Vung Tau,27.2,30.43,25.06,79.51,1746.84,San,83.5,5.2
2003,Ba Ria-Vung Tau,26.96,30,24.92,80.91,2078.21,Khoai,1.7,0.5
2003,Ba Ria-Vung Tau,26.96,30,24.92,80.91,2078.21,Lua dong xuan,11.7,3.3
2003,Ba Ria-Vung Tau,26.96,30,24.92,80.91,2078.21,Lua he thu,16.3,5.7
2003,Ba Ria-Vung Tau,26.96,30,24.92,80.91,2078.21,Lua mi,0,0
2003,Ba Ria-Vung Tau,26.96,30,24.92,80.91,2078.21,Lua mua,44.7,15.5
2003,Ba Ria-Vung Tau,26.96,30,24.92,80.91,2078.21,Ngo,68.2,18.4
2003,Ba Ria-Vung Tau,26.96,30,24.92,80.91,2078.21,San,137.2,7.2
2004,Ba Ria-Vung Tau,26.9,30,24.75,79.99,1680.61,Khoai,2.3,0.6
2004,Ba Ria-Vung Tau,26.9,30,24.75,79.99,1680.61,Lua dong xuan,17.1,4.5
2004,Ba Ria-Vung Tau,26.9,30,24.75,79.99,1680.61,Lua he thu,17.9,5.6
2004,Ba Ria-Vung Tau,26.9,30,24.75,79.99,1680.61,Lua mi,0,0
2004,Ba Ria-Vung Tau,26.9,30,24.75,79.99,1680.61,Lua mua,39.1,14.3
2004,Ba Ria-Vung Tau,26.9,30,24.75,79.99,1680.61,Ngo,72.2,18.5
2004,Ba Ria-Vung Tau,26.9,30,24.75,79.99,1680.61,San,135.7,7.4
2005,Ba Ria-Vung Tau,26.81,29.78,24.79,81.5,2029.24,Khoai,1.6,0.5
2005,Ba Ria-Vung Tau,26.81,29.78,24.79,81.5,2029.24,Lua dong xuan,9.4,2.4
2005,Ba Ria-Vung Tau,26.81,29.78,24.79,81.5,2029.24,Lua he thu,17.9,5.4
2005,Ba Ria-Vung Tau,26.81,29.78,24.79,81.5,2029.24,Lua mi,0,0
2005,Ba Ria-Vung Tau,26.81,29.78,24.79,81.5,2029.24,Lua mua,43.1,13.5
2005,Ba Ria-Vung Tau,26.81,29.78,24.79,81.5,2029.24,Ngo,74.3,18.4
2005,Ba Ria-Vung Tau,26.81,29.78,24.79,81.5,2029.24,San,144,7.8
2006,Ba Ria-Vung Tau,27,30.04,24.93,81.21,2012.79,Khoai,1,0.3
2006,Ba Ria-Vung Tau,27,30.04,24.93,81.21,2012.79,Lua dong xuan,18.2,4.5
2006,Ba Ria-Vung Tau,27,30.04,24.93,81.21,2012.79,Lua he thu,19.2,5.8
2006,Ba Ria-Vung Tau,27,30.04,24.93,81.21,2012.79,Lua mi,0,0
2006,Ba Ria-Vung Tau,27,30.04,24.93,81.21,2012.79,Lua mua,37,13.1
2006,Ba Ria-Vung Tau,27,30.04,24.93,81.21,2012.79,Ngo,78.1,19
2006,Ba Ria-Vung Tau,27,30.04,24.93,81.21,2012.79,San,150.2,7.2
2007,Ba Ria-Vung Tau,26.83,29.87,24.79,81.81,2437.97,Khoai,1,0.3
2007,Ba Ria-Vung Tau,26.83,29.87,24.79,81.81,2437.97,Lua dong xuan,19.4,4.6
2007,Ba Ria-Vung Tau,26.83,29.87,24.79,81.81,2437.97,Lua he thu,16.6,5.1
2007,Ba Ria-Vung Tau,26.83,29.87,24.79,81.81,2437.97,Lua mi,0,0
2007,Ba Ria-Vung Tau,26.83,29.87,24.79,81.81,2437.97,Lua mua,41.9,12.6
2007,Ba Ria-Vung Tau,26.83,29.87,24.79,81.81,2437.97,Ngo,80.3,19.3
2007,Ba Ria-Vung Tau,26.83,29.87,24.79,81.81,2437.97,San,152.9,7
2008,Ba Ria-Vung Tau,26.65,29.74,24.59,82.58,2188.16,Khoai,0.8,0.2
2008,Ba Ria-Vung Tau,26.65,29.74,24.59,82.58,2188.16,Lua dong xuan,21.4,5
2008,Ba Ria-Vung Tau,26.65,29.74,24.59,82.58,2188.16,Lua he thu,22.4,6.6
2008,Ba Ria-Vung Tau,26.65,29.74,24.59,82.58,2188.16,Lua mi,0,0
