Nam,Vung,Nhiet_do_Trung_binh (Celsius),Nhiet_do_Trung_binh_Cao_nhat (Celsius),Nhiet_do_Trung_binh_Thap_nhat (Celsius),Do am Tuong doi (%),Tong Luong mua (mm),LoaiCayTrong,Sanluong (nghin tan),Dientich (nghin ha),Temp_Range,Yield (tan/ha)
2001,An Giang,27.56,31.55,24.78,79.25,1847.46,Lua he thu,849.4,225.9,6.77,3.760054183027078
2001,An Giang,27.56,31.55,24.78,79.25,1847.46,Lua mi,0.0,0.0,6.77,0.0
2001,An Giang,27.56,31.55,24.78,79.25,1847.46,Lua mua,32.2,11.5,6.77,2.7997565429093125
2001,An Giang,27.56,31.55,24.78,79.25,1847.46,Ngo,41.5,7.2,6.77,5.76308845993612
2001,An Giang,27.56,31.55,24.78,79.25,1847.46,San,72.7,4.1,6.77,17.72738356498415
2002,An Giang,28.3,32.68,25.14,73.87,1497.69,Khoai,8.1,0.4,7.539999999999999,20.199501246882793
2002,An Giang,28.3,32.68,25.14,73.87,1497.69,Lua dong xuan,1430.9,218.8,7.539999999999999,6.539732450948579
2002,An Giang,28.3,32.68,25.14,73.87,1497.69,Lua he thu,1139.2,246.6,7.539999999999999,4.619608192991918
2002,An Giang,28.3,32.68,25.14,73.87,1497.69,Lua mi,0.0,0.0,7.539999999999999,0.0
2002,An Giang,28.3,32.68,25.14,73.87,1497.69,Lua mua,23.6,11.8,7.539999999999999,1.9998305228370477
2002,An Giang,28.3,32.68,25.14,73.87,1497.69,Ngo,45.5,7.7,7.539999999999999,5.908323594338397
2002,An Giang,28.3,32.68,25.14,73.87,1497.69,San,65.6,3.7,7.539999999999999,17.724939205620103
2003,An Giang,27.98,32.22,24.95,75.46,1853.57,Khoai,8.1,0.4,7.27,20.199501246882793
2003,An Giang,27.98,32.22,24.95,75.46,1853.57,Lua dong xuan,1413.9,220.5,7.27,6.41221581761534
2003,An Giang,27.98,32.22,24.95,75.46,1853.57,Lua he thu,1250.6,275.2,7.27,4.544314882576735
2003,An Giang,27.98,32.22,24.95,75.46,1853.57,Lua mi,0.0,0.0,7.27,0.0
2003,An Giang,27.98,32.22,24.95,75.46,1853.57,Lua mua,21.8,8.3,7.27,2.6261896157089506
2003,An Giang,27.98,32.22,24.95,75.46,1853.57,Ngo,62.5,9.1,7.27,6.867377211295462
2003,An Giang,27.98,32.22,24.95,75.46,1853.57,San,88.1,4.5,7.27,19.57342812708287
2004,An Giang,27.8,31.87,24.7,75.64,1465.58,Khoai,6.3,0.3,7.170000000000002,20.930232558139537
2004,An Giang,27.8,31.87,24.7,75.64,1465.58,Lua dong xuan,1436.4,220.3,7.170000000000002,6.520170130866405
2004,An Giang,27.8,31.87,24.7,75.64,1465.58,Lua he thu,1546.8,294.0,7.170000000000002,5.261206594535393
2004,An Giang,27.8,31.87,24.7,75.64,1465.58,Lua mi,0.0,0.0,7.170000000000002,0.0
2004,An Giang,27.8,31.87,24.7,75.64,1465.58,Lua mua,23.7,8.7,7.170000000000002,2.723824847718653
2004,An Giang,27.8,31.87,24.7,75.64,1465.58,Ngo,72.3,9.6,7.170000000000002,7.530465576502448
2004,An Giang,27.8,31.87,24.7,75.64,1465.58,San,2.8,0.2,7.170000000000002,13.930348258706468
2005,An Giang,27.72,31.65,24.78,76.28,1670.52,Khoai,7.7,0.3,6.869999999999997,25.58139534883721
2005,An Giang,27.72,31.65,24.78,76.28,1670.52,Lua dong xuan,1547.6,223.3,6.869999999999997,6.930555617753615
2005,An Giang,27.72,31.65,24.78,76.28,1670.52,Lua he thu,1568.7,298.1,6.869999999999997,5.262310424990188
2005,An Giang,27.72,31.65,24.78,76.28,1670.52,Lua mi,0.0,0.0,6.869999999999997,0.0
2005,An Giang,27.72,31.65,24.78,76.28,1670.52,Lua mua,25.3,8.3,6.869999999999997,3.0478255631851585
2005,An Giang,27.72,31.65,24.78,76.28,1670.52,Ngo,76.8,9.8,6.869999999999997,7.835935108662381
2005,An Giang,27.72,31.65,24.78,76.28,1670.52,San,14.5,0.6,6.869999999999997,24.126455906821963
2006,An Giang,27.67,31.63,24.85,77.57,1796.44,Khoai,6.3,0.4,6.779999999999998,15.71072319201995
2006,An Giang,27.67,31.63,24.85,77.57,1796.44,Lua dong xuan,1572.7,231.1,6.779999999999998,6.8052496527492305
2006,An Giang,27.67,31.63,24.85,77.57,1796.44,Lua he thu,1327.0,265.1,6.779999999999998,5.005639360092946
2006,An Giang,27.67,31.63,24.85,77.57,1796.44,Lua mi,0.0,0.0,6.779999999999998,0.0
2006,An Giang,27.67,31.63,24.85,77.57,1796.44,Lua mua,23.5,7.3,6.779999999999998,3.2187371592932474
2006,An Giang,27.67,31.63,24.85,77.57,1796.44,Ngo,76.0,10.0,6.779999999999998,7.599240075992401
2006,An Giang,27.67,31.63,24.85,77.57,1796.44,San,18.2,0.8,6.779999999999998,22.72159800249688
2007,An Giang,27.59,31.73,24.66,77.76,1979.86,Khoai,3.4,0.2,7.07,16.915422885572138
2007,An Giang,27.59,31.73,24.66,77.76,1979.86,Lua dong xuan,1639.6,230.6,7.07,7.110116608340814
2007,An Giang,27.59,31.73,24.66,77.76,1979.86,Lua he thu,1486.3,282.5,7.07,5.261220314264374
2007,An Giang,27.59,31.73,24.66,77.76,1979.86,Lua mi,0.0,0.0,7.07,0.0
2007,An Giang,27.59,31.73,24.66,77.76,1979.86,Lua mua,17.0,7.2,7.07,2.3607832245521454
2007,An Giang,27.59,31.73,24.66,77.76,1979.86,Ngo,80.1,10.5,7.07,7.627844967145986
2007,An Giang,27.59,31.73,24.66,77.76,1979.86,San,16.1,0.7,7.07,22.967189728958633
2008,An Giang,27.35,31.57,24.46,78.34,2131.14,Khoai,4.4,0.2,7.109999999999999,21.890547263681594
2008,An Giang,27.35,31.57,24.46,78.34,2131.14,Lua dong xuan,1694.8,231.7,7.109999999999999,7.314599419078899
2008,An Giang,27.35,31.57,24.46,78.34,2131.14,Lua he thu,1788.0,324.7,7.109999999999999,5.506604537713158
2008,An Giang,27.35,31.57,24.46,78.34,2131.14,Lua mi,0.0,0.0,7.109999999999999,0.0
2008,An Giang,27.35,31.57,24.46,78.34,2131.14,Lua mua,31.0,8.1,7.109999999999999,3.8266880632020737
2008,An Giang,27.35,31.57,24.46,78.34,2131.14,Ngo,85.6,11.5,7.109999999999999,7.442831058168855
2008,An Giang,27.35,31.57,24.46,78.34,2131.14,San,23.9,1.0,7.109999999999999,23.876123876123877
2009,An Giang,27.53,31.73,24.61,79.2,1691.58,Khoai,2.1,0.1,7.120000000000001,20.792079207920793
2009,An Giang,27.53,31.73,24.61,79.2,1691.58,Lua dong xuan,1677.2,234.1,7.120000000000001,7.164429028496247
2009,An Giang,27.53,31.73,24.61,79.2,1691.58,Lua he thu,1715.8,315.6,7.120000000000001,5.43661141758106
2009,An Giang,27.53,31.73,24.61,79.2,1691.58,Lua mi,0.0,0.0,7.120000000000001,0.0
2009,An Giang,27.53,31.73,24.61,79.2,1691.58,Lua mua,28.5,7.6,7.120000000000001,3.7495066438626496
2009,An Giang,27.53,31.73,24.61,79.2,1691.58,Ngo,65.1,9.2,7.120000000000001,7.075317900228235
2009,An Giang,27.53,31.73,24.61,79.2,1691.58,San,13.0,0.5,7.120000000000001,25.94810379241517
2010,An Giang,28.08,32.49,25.09,77.69,2133.19,Khoai,3.7,0.2,7.400000000000002,18.407960199004975
2010,An Giang,28.08,32.49,25.09,77.69,2133.19,Lua dong xuan,1708.9,234.2,7.400000000000002,7.29672375438192
2010,An Giang,28.08,32.49,25.09,77.69,2133.19,Lua he thu,1920.9,347.0,7.400000000000002,5.53571891723655
2010,An Giang,28.08,32.49,25.09,77.69,2133.19,Lua mi,0.0,0.0,7.400000000000002,0.0
2010,An Giang,28.08,32.49,25.09,77.69,2133.19,Lua mua,23.3,5.4,7.400000000000002,4.314015922977227
2010,An Giang,28.08,32.49,25.09,77.69,2133.19,Ngo,68.4,9.8,7.400000000000002,6.9788797061524335
2010,An Giang,28.08,32.49,25.09,77.69,2133.19,San,21.6,0.8,7.400000000000002,26.96629213483146
2011,An Giang,27.46,31.63,24.6,78.27,1878.89,Khoai,6.4,0.3,7.029999999999998,21.262458471760798
2011,An Giang,27.46,31.63,24.6,78.27,1878.89,Lua dong xuan,1768.8,235.5,7.029999999999998,7.510796132500499
2011,An Giang,27.46,31.63,24.6,78.27,1878.89,Lua he thu,2064.7,366.7,7.029999999999998,5.630472783003046
2011,An Giang,27.46,31.63,24.6,78.27,1878.89,Lua mi,0.0,0.0,7.029999999999998,0.0
2011,An Giang,27.46,31.63,24.6,78.27,1878.89,Lua mua,23.3,5.4,7.029999999999998,4.314015922977227
2011,An Giang,27.46,31.63,24.6,78.27,1878.89,Ngo,76.8,10.4,7.029999999999998,7.383905393712143
2011,An Giang,27.46,31.63,24.6,78.27,1878.89,San,3.2,1.1,7.029999999999998,2.9064486830154403
2012,An Giang,27.89,32.18,25.01,79.15,1965.37,Khoai,5.6,0.3,7.169999999999998,18.6046511627907
2012,An Giang,27.89,32.18,25.01,79.15,1965.37,Lua dong xuan,1746.1,235.9,7.169999999999998,7.401833820119457
2012,An Giang,27.89,32.18,25.01,79.15,1965.37,Lua he thu,2165.8,383.3,7.169999999999998,5.650389641561071
2012,An Giang,27.89,32.18,25.01,79.15,1965.37,Lua mi,0.0,0.0,7.169999999999998,0.0
2012,An Giang,27.89,32.18,25.01,79.15,1965.37,Lua mua,29.7,5.9,7.169999999999998,5.033045246568379
2012,An Giang,27.89,32.18,25.01,79.15,1965.37,Ngo,75.8,10.7,7.169999999999998,7.083450144846276
2012,An Giang,27.89,32.18,25.01,79.15,1965.37,San,27.3,1.0,7.169999999999998,27.272727272727273
2013,An Giang,27.88,32.08,25.03,77.72,2006.13,Khoai,6.5,0.3,7.049999999999997,21.59468438538206
2013,An Giang,27.88,32.08,25.03,77.72,2006.13,Lua dong xuan,1749.4,238.1,7.049999999999997,7.347302195286874
2013,An Giang,27.88,32.08,25.03,77.72,2006.13,Lua he thu,2244.6,397.9,7.049999999999997,5.641101681071422
2013,An Giang,27.88,32.08,25.03,77.72,2006.13,Lua mi,0.0,1.14e-13,7.049999999999997,0.0
2013,An Giang,27.88,32.08,25.03,77.72,2006.13,Lua mua,27.4,5.4,7.049999999999997,5.073134604702833
2013,An Giang,27.88,32.08,25.03,77.72,2006.13,Ngo,81.9,11.3,7.049999999999997,7.247146270241571
2013,An Giang,27.88,32.08,25.03,77.72,2006.13,San,18.0,0.7,7.049999999999997,25.677603423680456
2014,An Giang,27.84,32.16,24.82,77.35,1781.01,Khoai,12.4,0.7,7.339999999999996,17.689015691868757
2014,An Giang,27.84,32.16,24.82,77.35,1781.01,Lua dong xuan,1837.2,237.5,7.339999999999996,7.735546376646835
2014,An Giang,27.84,32.16,24.82,77.35,1781.01,Lua he thu,2161.4,383.2,7.339999999999996,5.640381940548171
2014,An Giang,27.84,32.16,24.82,77.35,1781.01,Lua mi,0.0,0.0,7.339999999999996,0.0
2014,An Giang,27.84,32.16,24.82,77.35,1781.01,Lua mua,24.3,5.1,7.339999999999996,4.7637718094491275
2014,An Giang,27.84,32.16,24.82,77.35,1781.01,Ngo,77.5,9.6,7.339999999999996,8.072075825434851
2014,An Giang,27.84,32.16,24.82,77.35,1781.01,San,19.4,0.8,7.339999999999996,24.21972534332085
2015,An Giang,28.28,32.73,25.12,75.25,1499.42,Khoai,3.4,0.2,7.609999999999996,16.915422885572138
2015,An Giang,28.28,32.73,25.12,75.25,1499.42,Lua dong xuan,1804.4,238.6,7.609999999999996,7.562415916110997
2015,An Giang,28.28,32.73,25.12,75.25,1499.42,Lua he thu,2250.1,400.3,7.609999999999996,5.62102018231281
2015,An Giang,28.28,32.73,25.12,75.25,1499.42,Lua mi,0.1,0.0,7.609999999999996,100.0
2015,An Giang,28.28,32.73,25.12,75.25,1499.42,Lua mua,19.2,5.3,7.609999999999996,3.6219581211092247
2015,An Giang,28.28,32.73,25.12,75.25,1499.42,Ngo,63.7,8.6,7.609999999999996,7.406115567957214
2015,An Giang,28.28,32.73,25.12,75.25,1499.42,San,15.4,0.7,7.609999999999996,21.96861626248217
2016,An Giang,28.43,32.61,25.5,76.7,1953.04,Khoai,4.8,0.2,7.109999999999999,23.880597014925375
2016,An Giang,28.43,32.61,25.5,76.7,1953.04,Lua dong xuan,1719.9,239.3,7.109999999999999,7.187182669524992
2016,An Giang,28.43,32.61,25.5,76.7,1953.04,Lua he thu,2234.6,424.7,7.109999999999999,5.2615840320602025
2016,An Giang,28.43,32.61,25.5,76.7,1953.04,Lua mi,0.1,0.0,7.109999999999999,100.0
2016,An Giang,28.43,32.61,25.5,76.7,1953.04,Lua mua,20.1,5.0,7.109999999999999,4.019196160767846
2016,An Giang,28.43,32.61,25.5,76.7,1953.04,Ngo,60.9,8.1,7.109999999999999,7.5175904209356865
2016,An Giang,28.43,32.61,25.5,76.7,1953.04,San,26.3,1.3,7.109999999999999,20.2152190622598
2017,An Giang,27.72,31.63,25.07,80.78,2301.93,Khoai,4.8,0.3,6.559999999999999,15.946843853820598
2017,An Giang,27.72,31.63,25.07,80.78,2301.93,Lua dong xuan,1660.4,236.2,6.559999999999999,7.029606140532851
2017,An Giang,27.72,31.63,25.07,80.78,2301.93,Lua he thu,2202.0,399.9,6.559999999999999,5.506362824799138
2017,An Giang,27.72,31.63,25.07,80.78,2301.93,Lua mi,0.0,0.0,6.559999999999999,0.0
2017,An Giang,27.72,31.63,25.07,80.78,2301.93,Lua mua,17.2,5.0,6.559999999999999,3.4393121375724856
2017,An Giang,27.72,31.63,25.07,80.78,2301.93,Ngo,63.1,8.3,6.559999999999999,7.601493795928201
2017,An Giang,27.72,31.63,25.07,80.78,2301.93,San,28.5,1.4,6.559999999999999,20.342612419700213
2018,An Giang,27.86,31.91,25.08,79.29,2012.23,Khoai,3.0,169.0,6.830000000000002,0.01775137425222336
2018,An Giang,27.86,31.91,25.08,79.29,2012.23,Lua dong xuan,1727.4,235.0,6.830000000000002,7.3506070186935375
2018,An Giang,27.86,31.91,25.08,79.29,2012.23,Lua he thu,2199.1,388.0,6.830000000000002,5.6677688975028415
2018,An Giang,27.86,31.91,25.08,79.29,2012.23,Lua mi,0.0,0.0,6.830000000000002,0.0
2018,An Giang,27.86,31.91,25.08,79.29,2012.23,Lua mua,0.3,0.1,6.830000000000002,2.9702970297029703
2018,An Giang,27.86,31.91,25.08,79.29,2012.23,Ngo,61.0,7.5,6.830000000000002,8.132249033462205
2018,An Giang,27.86,31.91,25.08,79.29,2012.23,San,18.6,0.8,6.830000000000002,23.220973782771537
2019,An Giang,28.12,32.33,25.08,76.77,1625.89,Khoai,3.1,176.0,7.25,0.017613536286725642
2019,An Giang,28.12,32.33,25.08,76.77,1625.89,Lua dong xuan,1659.3,233.7,7.25,7.100097988455334
2019,An Giang,28.12,32.33,25.08,76.77,1625.89,Lua he thu,2241.0,387.8,7.25,5.778737032653345
2019,An Giang,28.12,32.33,25.08,76.77,1625.89,Lua mi,0.0,0.0,7.25,0.0
2019,An Giang,28.12,32.33,25.08,76.77,1625.89,Lua mua,19.0,4.8,7.25,3.957508852322433
2019,An Giang,28.12,32.33,25.08,76.77,1625.89,Ngo,44.1,6.0,7.25,7.348775204132645
2019,An Giang,28.12,32.33,25.08,76.77,1625.89,San,19.9,0.8,7.25,24.84394506866417
2020,An Giang,28.09,32.19,25.11,77.67,1909.41,Khoai,2.5,149.0,7.079999999999998,0.016778410883148437
2020,An Giang,28.09,32.19,25.11,77.67,1909.41,Lua dong xuan,1645.2,229.4,7.079999999999998,7.171721134607085
2020,An Giang,28.09,32.19,25.11,77.67,1909.41,Lua he thu,2348.6,403.0,7.079999999999998,5.827777102290069
2020,An Giang,28.09,32.19,25.11,77.67,1909.41,Lua mi,0.0,0.0,7.079999999999998,0.0
2020,An Giang,28.09,32.19,25.11,77.67,1909.41,Lua mua,20.3,4.8,7.079999999999998,4.228285773797126
2020,An Giang,28.09,32.19,25.11,77.67,1909.41,Ngo,44.5,5.7,7.079999999999998,7.805648131906683
2020,An Giang,28.09,32.19,25.11,77.67,1909.41,San,9.0,0.4,7.079999999999998,22.443890274314214
2021,An Giang,27.62,31.48,24.89,78.87,2016.72,Khoai,1.8,98.0,6.59,0.01836715951878042
2021,An Giang,27.62,31.48,24.89,78.87,2016.72,Lua dong xuan,1771.8,230.4,6.59,7.690070789623309
2021,An Giang,27.62,31.48,24.89,78.87,2016.72,Lua he thu,2350.8,390.0,6.59,6.027676852110636
2021,An Giang,27.62,31.48,24.89,78.87,2016.72,Lua mi,0.0,0.0,6.59,0.0
2021,An Giang,27.62,31.48,24.89,78.87,2016.72,Lua mua,20.5,4.5,6.59,4.554543434792269
2021,An Giang,27.62,31.48,24.89,78.87,2016.72,Ngo,41.7,5.2,6.59,8.01768890597962
2021,An Giang,27.62,31.48,24.89,78.87,2016.72,San,15.4,0.7,6.59,21.96861626248217
2022,An Giang,27.82,31.75,25.15,79.14,2191.75,Khoai,2.2,108.1,6.600000000000001,0.020351338100480107
2022,An Giang,27.82,31.75,25.15,79.14,2191.75,Lua dong xuan,1685.9,229.8,6.600000000000001,7.336347535476347
2022,An Giang,27.82,31.75,25.15,79.14,2191.75,Lua he thu,2242.8,371.0,6.600000000000001,6.045266724348452
2022,An Giang,27.82,31.75,25.15,79.14,2191.75,Lua mi,0.0,0.0,6.600000000000001,0.0
2022,An Giang,27.82,31.75,25.15,79.14,2191.75,Lua mua,15.2,3.6,6.600000000000001,4.22104970841433
2022,An Giang,27.82,31.75,25.15,79.14,2191.75,Ngo,52.4,6.2,6.600000000000001,8.450249959683921
2022,An Giang,27.82,31.75,25.15,79.14,2191.75,San,15.8,0.8,6.600000000000001,19.72534332084894
2023,An Giang,28.22,32.01,25.45,79.25,1934.29,Khoai,1.8,97.5,6.559999999999999,0.01846134911436806
2023,An Giang,28.22,32.01,25.45,79.25,1934.29,Lua dong xuan,1719.4,227.7,6.559999999999999,7.5511306494042625
2023,An Giang,28.22,32.01,25.45,79.25,1934.29,Lua he thu,2334.6,385.0,6.559999999999999,6.063880353557523
2023,An Giang,28.22,32.01,25.45,79.25,1934.29,Lua mi,0.0,0.0,6.559999999999999,0.0
2023,An Giang,28.22,32.01,25.45,79.25,1934.29,Lua mua,13.7,3.5,6.559999999999999,3.913167666381034
2023,An Giang,28.22,32.01,25.45,79.25,1934.29,Ngo,42.1,5.5,6.559999999999999,7.65315397200509
2023,An Giang,28.22,32.01,25.45,79.25,1934.29,San,15.9,0.8,6.559999999999999,19.850187265917604
2024,An Giang,28.73,32.55,25.84,78.51,2030.66,Khoai,1.3,70.1,6.709999999999997,0.018544671260039086
2024,An Giang,28.73,32.55,25.84,78.51,2030.66,Lua dong xuan,1695.5,227.8,6.709999999999997,7.442899723881809
2024,An Giang,28.73,32.55,25.84,78.51,2030.66,Lua he thu,2359.6,387.3,6.709999999999997,6.092419074569908
2024,An Giang,28.73,32.55,25.84,78.51,2030.66,Lua mi,0.0,0.0,6.709999999999997,0.0
2024,An Giang,28.73,32.55,25.84,78.51,2030.66,Lua mua,13.6,3.5,6.709999999999997,3.884604398743216
2024,An Giang,28.73,32.55,25.84,78.51,2030.66,Ngo,41.7,5.7,6.709999999999997,7.3145062269777235
2024,An Giang,28.73,32.55,25.84,78.51,2030.66,San,14.5,0.7,6.709999999999997,20.684736091298145
1995,Ba Ria-Vung Tau,26.75,29.82,24.58,81.56,2050.96,Khoai,4.0,1.4,5.240000000000002,2.8551034975017844
1995,Ba Ria-Vung Tau,26.75,29.82,24.58,81.56,2050.96,Lua dong xuan,13.3,3.7,5.240000000000002,3.5936233450418804
1995,Ba Ria-Vung Tau,26.75,29.82,24.58,81.56,2050.96,Lua he thu,13.8,5.0,5.240000000000002,2.7594481103779245
1995,Ba Ria-Vung Tau,26.75,29.82,24.58,81.56,2050.96,Lua mi,0.0,0.0,5.240000000000002,0.0
1995,Ba Ria-Vung Tau,26.75,29.82,24.58,81.56,2050.96,Lua mua,33.0,13.7,5.240000000000002,2.40858331508649
1995,Ba Ria-Vung Tau,26.75,29.82,24.58,81.56,2050.96,Ngo,32.7,14.3,5.240000000000002,2.286553387874974
1995,Ba Ria-Vung Tau,26.75,29.82,24.58,81.56,2050.96,San,90.1,7.8,5.240000000000002,11.549801307524676
1996,Ba Ria-Vung Tau,26.48,29.44,24.38,83.4,2169.31,Khoai,3.9,1.0,5.060000000000002,3.896103896103896
1996,Ba Ria-Vung Tau,26.48,29.44,24.38,83.4,2169.31,Lua dong xuan,14.7,4.0,5.060000000000002,3.6740814796300927
1996,Ba Ria-Vung Tau,26.48,29.44,24.38,83.4,2169.31,Lua he thu,13.0,4.2,5.060000000000002,3.0945013092120925
1996,Ba Ria-Vung Tau,26.48,29.44,24.38,83.4,2169.31,Lua mi,0.0,0.0,5.060000000000002,0.0
1996,Ba Ria-Vung Tau,26.48,29.44,24.38,83.4,2169.31,Lua mua,36.2,13.1,5.060000000000002,2.7631478513090606
1996,Ba Ria-Vung Tau,26.48,29.44,24.38,83.4,2169.31,Ngo,50.0,15.7,5.060000000000002,3.1845105407298897
1996,Ba Ria-Vung Tau,26.48,29.44,24.38,83.4,2169.31,San,39.3,6.7,5.060000000000002,5.864796299059842
1997,Ba Ria-Vung Tau,26.9,30.01,24.76,80.9,1738.27,Khoai,2.9,0.8,5.25,3.620474406991261
1997,Ba Ria-Vung Tau,26.9,30.01,24.76,80.9,1738.27,Lua dong xuan,13.4,3.7,5.25,3.6206430694406917
1997,Ba Ria-Vung Tau,26.9,30.01,24.76,80.9,1738.27,Lua he thu,9.5,3.9,5.25,2.435273006921302
1997,Ba Ria-Vung Tau,26.9,30.01,24.76,80.9,1738.27,Lua mi,0.0,0.0,5.25,0.0
1997,Ba Ria-Vung Tau,26.9,30.01,24.76,80.9,1738.27,Lua mua,33.7,14.2,5.25,2.373072318850785
1997,Ba Ria-Vung Tau,26.9,30.01,24.76,80.9,1738.27,Ngo,51.8,16.1,5.25,3.217191478790137
1997,Ba Ria-Vung Tau,26.9,30.01,24.76,80.9,1738.27,San,81.1,5.1,5.25,15.898843364046266
1998,Ba Ria-Vung Tau,27.45,30.51,25.42,81.42,2002.05,Khoai,3.4,0.8,5.09,4.2446941323345815
